candidate_id,rank,score,reasoning
CAND_0091580,1,0.5772,"Ideal yoe (5.5), proven experience building search/ranking/retrieval systems, ideal location, poor recruiter response rate, strong open-source validation."
CAND_0045279,2,0.5650,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems."
CAND_0085605,3,0.5499,"Ideal yoe (5.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0057045,4,0.5418,"Ideal yoe (5.8), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0024450,5,0.5150,"Ideal yoe (5.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0076399,6,0.5120,"Adequate yoe (14.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0024841,7,0.5085,"Ideal yoe (5.6), proven experience building search/ranking/retrieval systems."
CAND_0041958,8,0.5067,"Ideal yoe (6.0), proven experience building search/ranking/retrieval systems."
CAND_0040305,9,0.5040,"Ideal yoe (6.5), proven experience building search/ranking/retrieval systems."
CAND_0028371,10,0.5022,"Ideal yoe (5.9), proven experience building search/ranking/retrieval systems."
CAND_0061732,11,0.5013,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems."
CAND_0073471,12,0.5013,"Ideal yoe (4.7), proven experience building search/ranking/retrieval systems."
CAND_0070366,13,0.5010,"Ideal yoe (7.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0058276,14,0.5000,"Ideal yoe (7.1), proven experience building search/ranking/retrieval systems."
CAND_0069344,15,0.5000,"Ideal yoe (6.7), proven experience building search/ranking/retrieval systems."
CAND_0095807,16,0.5000,"Ideal yoe (4.8), proven experience building search/ranking/retrieval systems."
CAND_0050888,17,0.4977,"Ideal yoe (6.9), proven experience building search/ranking/retrieval systems."
CAND_0018529,18,0.4950,"Ideal yoe (4.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0024733,19,0.4950,"Ideal yoe (7.7), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0028859,20,0.4950,"Ideal yoe (4.2), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0037625,21,0.4950,"Ideal yoe (6.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0042867,22,0.4950,"Ideal yoe (4.4), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0059160,23,0.4950,"Ideal yoe (7.1), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0063047,24,0.4950,"Ideal yoe (5.4), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0067158,25,0.4950,"Ideal yoe (5.2), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0086854,26,0.4950,"Ideal yoe (4.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0034681,27,0.4904,"Ideal yoe (7.0), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0080283,28,0.4856,"Ideal yoe (6.9), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0035003,29,0.4662,"Ideal yoe (5.4), proven experience building search/ranking/retrieval systems."
CAND_0092995,30,0.4650,"Ideal yoe (4.5), proven experience building search/ranking/retrieval systems."
CAND_0032876,31,0.4644,"Ideal yoe (4.8), proven experience building search/ranking/retrieval systems."
CAND_0081436,32,0.4644,"Ideal yoe (6.3), proven experience building search/ranking/retrieval systems."
CAND_0028580,33,0.4640,"Ideal yoe (7.2), proven experience building search/ranking/retrieval systems."
CAND_0095797,34,0.4635,"High yoe (9.4), proven experience building search/ranking/retrieval systems."
CAND_0043496,35,0.4626,"Ideal yoe (5.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0008208,36,0.4620,"Ideal yoe (7.1), proven experience building search/ranking/retrieval systems."
CAND_0044535,37,0.4617,"Ideal yoe (5.7), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0095198,38,0.4617,"High yoe (11.0), proven experience building search/ranking/retrieval systems."
CAND_0065097,39,0.4610,"High yoe (10.2), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0098785,40,0.4610,"High yoe (10.1), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0013587,41,0.4608,"Ideal yoe (7.6), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0030630,42,0.4608,"Ideal yoe (7.4), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0030691,43,0.4608,"High yoe (10.6), proven experience building search/ranking/retrieval systems."
CAND_0030824,44,0.4608,"Ideal yoe (4.7), proven experience building search/ranking/retrieval systems, ideal location."
CAND_0099557,45,0.4600,"Ideal yoe (4.6), proven experience building search/ranking/retrieval systems."
CAND_0018730,46,0.4599,"Ideal yoe (6.5), proven experience building search/ranking/retrieval systems."
CAND_0068442,47,0.4599,"Ideal yoe (6.9), proven experience building search/ranking/retrieval systems, ideal location."
